№,Наличие согласия,Согласие в МГУ,Сумма баллов,Математика (ДВИ),Математика (ЕГЭ),Физика,Русский язык,Индивидуальные достижения - аттестат,Индивидуальные достижения - сочинение,Индивидуальные достижения - ГТО,Преимущественное право зачисления,Право на общежитие,Статус
297,Нет,Да,365,80,90,97,88,6,2,2,Нет,Нет,В конкурсе
298,Нет,Нет,365,80,88,91,98,6,2,0,Нет,Да,В конкурсе
299,Нет,Да,365,75,100,86,98,6,0,0,Нет,Да,В конкурсе
300,Да,Да,365,75,99,91,92,6,2,0,Нет,Нет,В конкурсе
301,Нет,Нет,365,70,96,95,96,6,2,0,Нет,Нет,В конкурсе
302,Нет,Да,365,70,90,97,100,6,2,0,Нет,Да,В конкурсе
303,Нет,Нет,365,60,98,97,100,6,2,2,Нет,Нет,В конкурсе
304,Нет,Нет,364,100,100,89,73,0,2,0,Нет,Нет,В конкурсе
305,Да,Да,364,100,86,91,85,0,2,0,Нет,Нет,В конкурсе
306,Нет,Да,364,100,84,100,78,0,2,0,Нет,Нет,В конкурсе
307,Нет,Да,364,85,100,97,82,0,0,0,Нет,Да,В конкурсе
308,Нет,Да,364,80,99,97,86,0,2,0,Нет,Нет,В конкурсе
309,Нет,Да,364,80,84,100,92,6,2,0,Нет,Да,В конкурсе
310,Нет,Нет,364,75,96,89,100,0,2,2,Нет,Да,В конкурсе
311,Нет,Нет,364,75,94,97,96,0,2,0,Нет,Нет,В конкурсе
312,Нет,Да,363,100,88,87,78,6,2,2,Нет,Да,В конкурсе
313,Нет,Нет,363,100,86,93,82,0,2,0,Нет,Нет,В конкурсе
314,Нет,Да,363,100,82,85,94,0,2,0,Нет,Нет,В конкурсе
315,Нет,Да,363,95,96,76,94,0,2,0,Нет,Нет,В конкурсе
316,Нет,Нет,363,90,98,81,94,0,0,0,Нет,Да,В конкурсе
317,Нет,Да,363,90,92,93,86,0,2,0,Нет,Да,В конкурсе
318,Нет,Да,363,90,90,89,92,0,2,0,Нет,Да,В конкурсе
319,Нет,Да,363,90,88,91,90,0,2,2,Нет,Нет,В конкурсе
320,Нет,Да,363,90,86,89,96,0,2,0,Нет,Нет,В конкурсе
321,Нет,Да,363,80,90,85,100,6,2,0,Нет,Да,В конкурсе
322,Нет,Нет,363,80,88,87,98,6,2,2,Нет,Да,В конкурсе
323,Нет,Нет,363,80,86,99,96,0,2,0,Нет,Нет,В конкурсе
324,Нет,Нет,363,80,86,89,98,6,2,2,Нет,Да,В конкурсе
325,Нет,Да,363,70,94,95,96,6,2,0,Нет,Нет,В конкурсе
326,Нет,Да,363,70,94,91,100,6,2,0,Нет,Да,В конкурсе
327,Нет,Нет,362,100,94,72,94,0,2,0,Нет,Нет,В конкурсе
328,Нет,Нет,362,85,94,93,88,0,2,0,Нет,Да,В конкурсе
329,Нет,Да,362,85,88,91,96,0,2,0,Нет,Да,В конкурсе
330,Нет,Нет,362,85,86,99,90,0,2,0,Нет,Да,В конкурсе
331,Нет,Да,362,85,86,87,96,6,2,0,Нет,Да,В конкурсе
332,Нет,Да,362,80,96,100,78,6,2,0,Нет,Да,В конкурсе
333,Нет,Да,362,80,88,94,98,0,2,0,Нет,Нет,В конкурсе
334,Нет,Да,362,80,86,100,88,6,2,0,Нет,Нет,В конкурсе
335,Нет,Да,362,75,96,87,96,6,2,0,Нет,Нет,В конкурсе
336,Нет,Нет,362,75,88,99,92,6,2,0,Нет,Да,В конкурсе
337,Нет,Да,362,70,100,100,82,6,2,2,Нет,Да,В конкурсе
338,Нет,Да,362,70,96,100,88,6,2,0,Нет,Нет,В конкурсе
339,Нет,Нет,361,100,94,83,82,0,2,0,Нет,Да,В конкурсе
340,Нет,Нет,361,100,84,91,84,0,2,0,Нет,Да,В конкурсе
341,Нет,Да,361,90,80,93,96,0,2,0,Нет,Да,В конкурсе
342,Нет,Да,361,80,96,93,90,0,2,0,Нет,Нет,В конкурсе
343,Нет,Да,361,80,96,91,92,0,2,0,Нет,Нет,В конкурсе
344,Нет,Нет,361,80,94,93,92,0,2,0,Нет,Нет,В конкурсе
345,Нет,Да,361,80,94,93,86,6,2,0,Нет,Нет,В конкурсе
346,Нет,Да,361,80,94,91,94,0,2,0,Нет,Да,В конкурсе
347,Нет,Да,361,80,92,97,90,0,2,0,Нет,Нет,В конкурсе
348,Нет,Да,361,80,92,89,92,6,2,0,Нет,Да,В конкурсе
349,Нет,Нет,361,80,90,99,88,0,2,2,Нет,Да,В конкурсе
350,Нет,Да,361,80,90,93,90,6,2,0,Нет,Да,В конкурсе
351,Нет,Да,361,80,90,91,90,6,2,2,Нет,Да,В конкурсе
352,Нет,Да,361,80,90,89,94,6,2,0,Нет,Нет,В конкурсе
353,Нет,Да,361,80,90,89,94,6,2,0,Нет,Да,В конкурсе
354,Нет,Да,361,80,88,85,98,6,2,2,Нет,Да,В конкурсе
355,Нет,Нет,361,80,86,95,92,6,2,0,Нет,Да,В конкурсе
356,Нет,Да,361,80,84,97,98,0,2,0,Нет,Да,В конкурсе
357,Нет,Да,361,80,82,93,98,6,2,0,Нет,Да,В конкурсе
358,Нет,Нет,361,70,96,99,86,6,2,2,Нет,Да,В конкурсе
359,Нет,Нет,361,70,94,99,88,6,2,2,Нет,Да,В конкурсе
360,Нет,Да,360,100,96,72,90,0,2,0,Нет,Нет,В конкурсе
361,Нет,Да,360,85,90,91,92,0,2,0,Нет,Нет,В конкурсе
362,Нет,Да,360,85,84,98,91,0,2,0,Нет,Да,В конкурсе
363,Нет,Да,360,80,99,85,88,6,2,0,Нет,Да,В конкурсе
364,Нет,Да,360,80,96,100,82,0,2,0,Нет,Да,В конкурсе
365,Нет,Да,360,80,92,100,80,6,2,0,Нет,Да,В конкурсе
366,Нет,Да,360,80,84,88,100,6,2,0,Нет,Да,В конкурсе
367,Нет,Да,360,75,90,89,98,6,2,0,Нет,Нет,В конкурсе
368,Нет,Да,360,70,100,94,88,6,2,0,Нет,Да,В конкурсе
369,Нет,Да,360,70,88,100,94,6,2,0,Нет,Нет,В конкурсе
370,Нет,Да,360,65,98,97,92,6,2,0,Нет,Нет,В конкурсе
371,Нет,Да,360,65,94,95,96,6,2,2,Нет,Да,В конкурсе
372,Нет,Да,359,100,82,85,90,0,2,0,Нет,Нет,В конкурсе
373,Нет,Да,359,90,99,76,92,0,2,0,Нет,Нет,В конкурсе
374,Нет,Да,359,90,92,89,86,0,2,0,Нет,Нет,В конкурсе
375,Нет,Да,359,90,92,89,86,0,2,0,Нет,Да,В конкурсе
376,Нет,Нет,359,90,86,83,90,6,2,2,Нет,Нет,В конкурсе
377,Нет,Нет,359,90,82,91,94,0,2,0,Нет,Нет,В конкурсе
378,Нет,Да,359,80,98,95,84,0,2,0,Нет,Нет,В конкурсе
379,Нет,Да,359,80,94,91,86,6,2,0,Нет,Да,В конкурсе
380,Нет,Да,359,80,94,87,88,6,2,2,Нет,Нет,В конкурсе
381,Нет,Да,359,80,90,91,96,0,2,0,Нет,Да,В конкурсе
382,Нет,Да,359,80,90,87,94,6,2,0,Нет,Да,В конкурсе
383,Нет,Да,359,80,88,93,96,0,2,0,Нет,Нет,В конкурсе
384,Нет,Да,359,80,88,91,92,6,2,0,Нет,Да,В конкурсе
385,Нет,Да,359,80,86,95,94,0,2,2,Нет,Нет,В конкурсе
386,Нет,Нет,359,70,100,91,88,6,2,2,Нет,Да,В конкурсе
387,Нет,Нет,359,70,94,91,96,6,2,0,Нет,Нет,В конкурсе
388,Нет,Нет,359,70,90,93,96,6,2,2,Нет,Да,В конкурсе
389,Нет,Да,358,100,84,72,94,6,2,0,Нет,Нет,В конкурсе
390,Нет,Нет,358,100,82,68,98,6,2,2,Нет,Да,В конкурсе
391,Нет,Да,358,85,100,85,86,0,2,0,Нет,Нет,В конкурсе
392,Нет,Да,358,85,98,81,92,0,2,0,Нет,Нет,В конкурсе
393,Нет,Да,358,85,90,90,91,0,2,0,Нет,Да,В конкурсе
394,Нет,Да,358,85,88,99,78,6,2,0,Нет,Да,В конкурсе
395,Нет,Да,358,85,88,87,96,0,2,0,Нет,Нет,В конкурсе
396,Нет,Нет,358,85,84,85,96,6,2,0,Нет,Да,В конкурсе
397,Нет,Да,358,80,90,100,86,0,2,0,Нет,Нет,В конкурсе
398,Нет,Да,358,80,78,100,98,0,2,0,Нет,Да,В конкурсе
399,Нет,Нет,358,75,100,93,88,0,2,0,Нет,Да,В конкурсе
400,Нет,Нет,358,75,90,93,92,6,2,0,Нет,Да,В конкурсе
401,Нет,Да,358,75,88,91,96,6,2,0,Нет,Нет,В конкурсе
402,Нет,Нет,358,75,86,97,90,6,2,2,Нет,Да,В конкурсе
403,Нет,Да,358,75,86,91,98,6,2,0,Нет,Да,В конкурсе
404,Нет,Нет,358,75,84,95,96,6,2,0,Нет,Нет,В конкурсе
405,Нет,Нет,358,70,86,100,94,6,2,0,Нет,Нет,В конкурсе
406,Нет,Да,357,100,86,89,80,0,2,0,Нет,Да,В конкурсе
407,Нет,Да,357,100,80,91,82,0,2,2,Нет,Да,В конкурсе
408,Нет,Нет,357,90,92,89,84,0,2,0,Нет,Да,В конкурсе
409,Нет,Да,357,90,92,89,84,0,2,0,Нет,Нет,В конкурсе
410,Нет,Да,357,80,100,87,88,0,2,0,Нет,Нет,В конкурсе
411,Нет,Да,357,80,94,95,86,0,2,0,Нет,Да,В конкурсе
412,Нет,Да,357,80,94,89,92,0,2,0,Нет,Да,В конкурсе
413,Нет,Нет,357,80,90,87,92,6,2,0,Нет,Да,В конкурсе
414,Нет,Да,357,80,88,93,86,6,2,2,Нет,Да,В конкурсе
415,Нет,Да,357,80,88,91,96,0,2,0,Нет,Да,В конкурсе
416,Нет,Нет,357,80,86,87,94,6,2,2,Нет,Да,В конкурсе
417,Нет,Да,357,80,84,91,94,6,2,0,Нет,Да,В конкурсе
418,Нет,Да,357,70,100,91,94,0,2,0,Нет,Нет,В конкурсе
419,Нет,Нет,357,70,96,93,94,0,2,2,Нет,Нет,В конкурсе
420,Нет,Да,357,70,90,95,100,0,2,0,Нет,Нет,В конкурсе
421,Нет,Да,357,70,86,95,98,6,2,0,Нет,Нет,В конкурсе
422,Нет,Нет,357,65,90,100,94,6,2,0,Нет,Нет,В конкурсе
423,Нет,Нет,356,100,98,74,80,0,2,2,Нет,Нет,В конкурсе
424,Нет,Да,356,100,88,86,80,0,2,0,Нет,Нет,В конкурсе
425,Нет,Да,356,100,84,78,86,6,2,0,Нет,Нет,В конкурсе
426,Нет,Да,356,90,92,78,92,0,2,2,Нет,Нет,В конкурсе
427,Нет,Да,356,85,92,81,90,6,2,0,Нет,Нет,В конкурсе
428,Нет,Да,356,85,88,100,81,0,2,0,Нет,Да,В конкурсе
429,Нет,Да,356,85,86,95,88,0,2,0,Нет,Да,В конкурсе
430,Нет,Да,356,75,84,97,98,0,2,0,Нет,Нет,В конкурсе
431,Нет,Да,356,75,80,95,98,6,2,0,Нет,Да,В конкурсе
432,Нет,Да,356,65,100,85,98,6,2,0,Нет,Нет,В конкурсе
433,Нет,Да,356,65,96,95,92,6,2,0,Нет,Да,В конкурсе
434,Нет,Да,355,95,86,80,92,0,2,0,Нет,Нет,В конкурсе
435,Нет,Да,355,90,96,97,72,0,0,0,Нет,Да,В конкурсе
436,Нет,Да,355,90,88,87,82,6,2,0,Нет,Да,В конкурсе
437,Да,Да,355,90,84,90,89,0,2,0,Нет,Да,В конкурсе
438,Нет,Да,355,85,82,92,94,0,2,0,Нет,Да,В конкурсе
439,Нет,Да,355,80,100,91,76,6,2,0,Нет,Да,В конкурсе
440,Нет,Да,355,80,93,95,87,0,0,0,Нет,Да,В конкурсе
441,Нет,Да,355,80,90,91,86,6,2,0,Нет,Нет,В конкурсе
442,Нет,Да,355,80,88,95,88,0,2,2,Нет,Да,В конкурсе
443,Нет,Да,355,80,86,99,88,0,2,0,Нет,Да,В конкурсе
444,Нет,Да,355,80,84,95,92,0,2,2,Нет,Нет,В конкурсе
445,Нет,Да,355,80,84,83,98,6,2,2,Нет,Да,В конкурсе
446,Нет,Нет,355,70,98,89,88,6,2,2,Нет,Да,В конкурсе
447,Нет,Да,355,70,90,97,96,0,2,0,Нет,Да,В конкурсе
448,Нет,Да,355,70,90,97,90,6,2,0,Нет,Да,В конкурсе
449,Нет,Да,354,95,80,85,92,0,2,0,Нет,Нет,В конкурсе
450,Нет,Да,354,90,94,64,98,6,2,0,Нет,Да,В конкурсе
451,Нет,Да,354,85,90,83,88,6,2,0,Нет,Да,В конкурсе
452,Нет,Да,354,70,94,100,88,0,2,0,Нет,Да,В конкурсе
453,Нет,Да,354,70,92,100,90,0,2,0,Нет,Нет,В конкурсе
454,Нет,Нет,354,65,94,95,98,0,2,0,Нет,Да,В конкурсе
455,Нет,Нет,354,55,94,97,98,6,2,2,Нет,Нет,В конкурсе
456,Нет,Да,353,90,86,93,80,0,2,2,Нет,Нет,В конкурсе
457,Нет,Да,353,85,84,80,96,6,2,0,Нет,Нет,В конкурсе
458,Нет,Да,353,80,98,81,92,0,2,0,Нет,Да,В конкурсе
459,Нет,Нет,353,80,96,90,85,0,2,0,Нет,Да,В конкурсе
460,Нет,Да,353,80,82,93,88,6,2,2,Нет,Нет,В конкурсе
461,Нет,Да,353,75,86,100,84,6,2,0,Нет,Да,В конкурсе
462,Нет,Да,353,70,94,91,96,0,2,0,Нет,Нет,В конкурсе
463,Нет,Да,353,70,90,93,98,0,2,0,Нет,Да,В конкурсе
464,Нет,Да,353,70,80,97,98,6,2,0,Нет,Нет,В конкурсе
465,Нет,Да,353,65,92,100,94,0,2,0,Нет,Нет,В конкурсе
466,Нет,Нет,353,65,86,100,100,0,2,0,Нет,Нет,В конкурсе
467,Нет,Нет,353,65,86,100,92,6,2,2,Нет,Да,В конкурсе
468,Нет,Да,352,95,80,81,94,0,2,0,Нет,Нет,В конкурсе
469,Нет,Да,352,90,86,87,87,0,2,0,Нет,Да,В конкурсе
470,Нет,Да,352,85,88,85,90,0,2,2,Нет,Да,В конкурсе
471,Нет,Нет,352,80,82,100,88,0,2,0,Нет,Да,В конкурсе
472,Нет,Нет,352,80,78,100,90,0,2,2,Нет,Да,В конкурсе
473,Нет,Да,352,75,90,93,90,0,2,2,Нет,Нет,В конкурсе
474,Нет,Да,352,75,88,85,96,6,2,0,Нет,Нет,В конкурсе
475,Нет,Нет,352,75,84,99,92,0,2,0,Нет,Нет,В конкурсе
476,Нет,Нет,352,55,92,99,98,6,2,0,Нет,Да,В конкурсе
477,Нет,Да,351,90,90,89,80,0,2,0,Нет,Да,В конкурсе
478,Нет,Да,351,90,90,83,84,0,2,2,Нет,Да,В конкурсе
479,Нет,Да,351,90,74,95,90,0,2,0,Нет,Нет,В конкурсе
480,Нет,Да,351,80,92,91,86,0,2,0,Нет,Нет,В конкурсе
481,Нет,Да,351,80,88,89,92,0,2,0,Нет,Да,В конкурсе
482,Нет,Да,351,80,84,99,86,0,2,0,Нет,Да,В конкурсе
483,Нет,Да,351,80,84,87,98,0,2,0,Нет,Да,В конкурсе
484,Нет,Да,351,80,82,93,88,6,2,0,Нет,Нет,В конкурсе
485,Нет,Да,351,80,80,91,92,6,2,0,Нет,Нет,В конкурсе
486,Нет,Да,351,75,86,88,100,0,2,0,Нет,Да,В конкурсе
487,Нет,Да,351,70,96,87,90,6,2,0,Нет,Нет,В конкурсе
488,Нет,Нет,351,70,90,99,90,0,2,0,Нет,Да,В конкурсе
489,Нет,Нет,351,70,88,89,96,6,2,0,Нет,Да,В конкурсе
490,Нет,Да,351,70,82,93,96,6,2,2,Нет,Да,В конкурсе
491,Нет,Нет,351,65,86,100,96,0,2,2,Нет,Да,В конкурсе
492,Нет,Нет,351,60,96,95,90,6,2,2,Нет,Нет,В конкурсе
493,Нет,Нет,351,60,86,99,96,6,2,2,Нет,Да,В конкурсе
494,Нет,Да,350,85,95,83,87,0,0,0,Нет,Да,В конкурсе
495,Нет,Да,350,85,88,87,86,0,2,2,Нет,Да,В конкурсе
496,Нет,Нет,350,85,78,89,96,0,2,0,Нет,Да,В конкурсе
497,Нет,Да,350,75,94,89,84,6,2,0,Нет,Да,В конкурсе
498,Нет,Да,350,70,78,100,94,6,2,0,Нет,Нет,В конкурсе
499,Нет,Нет,350,65,94,85,98,6,2,0,Нет,Нет,В конкурсе
500,Нет,Нет,350,65,90,95,98,0,2,0,Нет,Нет,В конкурсе
501,Нет,Да,350,65,84,99,94,6,2,0,Нет,Да,В конкурсе
502,Нет,Нет,350,60,86,100,96,6,2,0,Нет,Да,В конкурсе
503,Нет,Да,350,55,98,91,98,6,2,0,Нет,Нет,В конкурсе
504,Нет,Да,350,55,88,99,98,6,2,2,Нет,Да,В конкурсе
505,Нет,Да,349,85,84,91,85,0,2,2,Нет,Нет,В конкурсе
506,Нет,Да,349,80,86,85,90,6,2,0,Нет,Да,В конкурсе
507,Нет,Да,349,80,82,97,88,0,2,0,Нет,Нет,В конкурсе
508,Нет,Нет,349,75,88,100,84,0,2,0,Нет,Да,В конкурсе
509,Нет,Да,349,70,96,89,92,0,2,0,Нет,Да,В конкурсе
510,Нет,Да,349,70,92,85,94,6,2,0,Нет,Нет,В конкурсе
511,Нет,Да,349,70,88,95,94,0,2,0,Нет,Нет,В конкурсе
512,Нет,Нет,349,70,88,95,94,0,2,0,Нет,Да,В конкурсе
513,Нет,Да,349,70,86,99,86,6,2,0,Нет,Нет,В конкурсе
514,Нет,Нет,349,65,82,100,100,0,2,0,Нет,Нет,В конкурсе
515,Нет,Нет,349,55,90,100,96,6,2,0,Нет,Да,В конкурсе
516,Нет,Да,348,85,96,81,84,0,2,0,Нет,Нет,В конкурсе
517,Нет,Да,348,85,86,89,86,0,2,0,Нет,Да,В конкурсе
518,Нет,Да,348,85,74,91,96,0,2,0,Нет,Да,В конкурсе
519,Нет,Да,348,80,86,92,90,0,0,0,Нет,Да,В конкурсе
520,Нет,Нет,348,75,92,93,86,0,2,0,Нет,Нет,В конкурсе
521,Нет,Да,348,75,90,87,94,0,2,0,Нет,Нет,В конкурсе
522,Нет,Да,348,75,86,83,94,6,2,2,Нет,Нет,В конкурсе
523,Нет,Да,348,75,80,93,92,6,2,0,Нет,Нет,В конкурсе
524,Нет,Нет,348,70,92,95,89,0,2,0,Нет,Да,В конкурсе
525,Нет,Да,348,65,94,93,88,6,2,0,Нет,Нет,В конкурсе
526,Нет,Нет,348,65,90,95,94,0,2,2,Нет,Да,В конкурсе
527,Нет,Нет,348,65,86,93,94,6,2,2,Нет,Нет,В конкурсе
528,Нет,Нет,348,65,82,95,98,6,2,0,Нет,Нет,В конкурсе
529,Нет,Да,348,55,96,93,100,0,2,2,Нет,Нет,В конкурсе
530,Нет,Нет,348,55,94,97,100,0,2,0,Нет,Нет,В конкурсе
531,Нет,Да,347,95,86,80,84,0,2,0,Нет,Да,В конкурсе
532,Нет,Да,347,90,84,83,88,0,2,0,Нет,Нет,В конкурсе
533,Нет,Да,347,80,96,91,78,0,2,0,Нет,Да,В конкурсе
534,Нет,Да,347,80,92,89,84,0,2,0,Нет,Нет,В конкурсе
535,Нет,Нет,347,80,88,87,90,0,2,0,Нет,Нет,В конкурсе
536,Нет,Да,347,70,94,85,90,6,2,0,Нет,Нет,В конкурсе
537,Нет,Нет,347,70,90,89,98,0,0,0,Нет,Да,В конкурсе
538,Нет,Нет,347,70,84,97,94,0,2,0,Нет,Нет,В конкурсе
539,Нет,Да,347,70,80,95,100,0,2,0,Нет,Нет,В конкурсе
540,Нет,Да,347,60,92,91,96,6,2,0,Нет,Нет,В конкурсе
541,Нет,Нет,347,60,88,95,96,6,2,0,Нет,Да,В конкурсе
542,Нет,Да,346,85,82,81,94,0,2,2,Нет,Нет,В конкурсе
543,Нет,Нет,346,80,96,78,90,0,2,0,Нет,Нет,В конкурсе
544,Нет,Да,346,75,92,83,94,0,2,0,Нет,Нет,В конкурсе
545,Нет,Да,346,75,86,91,86,6,2,0,Нет,Да,В конкурсе
546,Нет,Нет,346,75,84,85,94,6,2,0,Нет,Да,В конкурсе
547,Нет,Да,346,65,96,93,90,0,2,0,Нет,Нет,В конкурсе
548,Нет,Да,346,65,92,93,94,0,2,0,Нет,Нет,В конкурсе
549,Нет,Нет,346,55,94,97,98,0,2,0,Нет,Да,В конкурсе
550,Нет,Нет,346,55,94,97,92,6,2,0,Нет,Нет,В конкурсе
551,Нет,Нет,346,50,92,100,96,6,2,0,Нет,Нет,В конкурсе
552,Нет,Да,345,90,90,85,78,0,2,0,Нет,Нет,В конкурсе
553,Нет,Да,345,80,86,88,89,0,2,0,Нет,Нет,В конкурсе
554,Нет,Да,345,80,82,91,84,6,2,0,Нет,Да,В конкурсе
555,Нет,Да,345,75,100,78,88,0,2,2,Нет,Нет,В конкурсе
556,Нет,Нет,345,70,90,81,96,6,2,0,Нет,Да,В конкурсе
557,Нет,Да,345,70,86,87,94,6,2,0,Нет,Да,В конкурсе
558,Нет,Нет,345,70,86,87,92,6,2,2,Нет,Да,В конкурсе
559,Нет,Да,345,70,82,93,92,6,2,0,Нет,Да,В конкурсе
560,Нет,Да,344,85,78,81,90,6,2,2,Нет,Нет,В конкурсе
561,Нет,Да,344,80,96,78,88,0,2,0,Нет,Нет,В конкурсе
562,Нет,Да,344,75,90,87,90,0,2,0,Нет,Да,В конкурсе
563,Нет,Да,344,75,88,91,88,0,2,0,Нет,Да,В конкурсе
564,Нет,Да,344,75,86,95,86,0,2,0,Нет,Да,В конкурсе
565,Нет,Да,344,65,92,91,92,0,2,2,Нет,Нет,В конкурсе
566,Нет,Нет,344,65,90,97,90,0,2,0,Нет,Да,В конкурсе
567,Нет,Нет,344,65,88,97,92,0,2,0,Нет,Нет,В конкурсе
568,Нет,Да,344,65,84,93,94,6,2,0,Нет,Да,В конкурсе
569,Нет,Да,344,50,98,100,94,0,2,0,Нет,Нет,В конкурсе
570,Нет,Да,343,90,82,81,82,6,2,0,Нет,Да,В конкурсе
571,Нет,Нет,343,80,84,91,80,6,2,0,Нет,Да,В конкурсе
572,Нет,Да,343,80,78,93,90,0,2,0,Нет,Нет,В конкурсе
573,Нет,Нет,343,70,96,81,94,0,2,0,Нет,Да,В конкурсе
574,Нет,Да,343,70,96,81,94,0,2,0,Нет,Нет,В конкурсе
575,Нет,Нет,343,70,94,93,84,0,2,0,Нет,Да,В конкурсе
576,Нет,Да,343,70,92,93,84,0,2,2,Нет,Да,В конкурсе
577,Нет,Нет,343,70,88,89,88,6,2,0,Нет,Да,В конкурсе
578,Нет,Нет,343,70,82,91,98,0,2,0,Нет,Нет,В конкурсе
579,Нет,Нет,343,70,80,91,94,6,2,0,Нет,Нет,В конкурсе
580,Нет,Да,343,60,86,99,90,6,2,0,Нет,Да,В конкурсе
581,Нет,Нет,342,100,94,64,82,0,2,0,Нет,Нет,В конкурсе
582,Нет,Нет,342,100,80,72,82,6,2,0,Нет,Да,В конкурсе
583,Нет,Да,342,80,84,78,90,6,2,2,Нет,Да,В конкурсе
584,Нет,Да,342,75,88,83,86,6,2,2,Нет,Да,В конкурсе
585,Нет,Да,342,65,94,93,88,0,2,0,Нет,Да,В конкурсе
586,Нет,Да,342,65,90,89,90,6,2,0,Нет,Да,В конкурсе
587,Нет,Да,342,55,96,85,96,6,2,2,Нет,Нет,В конкурсе
588,Нет,Нет,341,70,99,78,86,6,2,0,Нет,Да,В конкурсе
589,Нет,Нет,341,70,88,89,92,0,2,0,Нет,Да,В конкурсе
590,Нет,Нет,341,70,82,95,92,0,2,0,Нет,Нет,В конкурсе
591,Нет,Нет,341,70,80,91,98,0,2,0,Нет,Да,В конкурсе
592,Нет,Нет,341,60,96,85,92,6,2,0,Нет,Нет,В конкурсе
593,Нет,Нет,341,60,92,85,96,6,2,0,Нет,Да,В конкурсе
594,Нет,Нет,341,60,90,93,90,6,2,0,Нет,Нет,В конкурсе
595,Нет,Нет,341,60,88,95,96,0,2,0,Нет,Нет,В конкурсе
596,Нет,Нет,340,90,88,72,88,0,2,0,Нет,Нет,В конкурсе
597,Нет,Да,340,80,84,78,96,0,2,0,Нет,Да,В конкурсе
598,Нет,Нет,340,75,86,81,96,0,2,0,Нет,Да,В конкурсе
599,Нет,Нет,340,75,84,85,94,0,2,0,Нет,Нет,В конкурсе
600,Нет,Нет,340,75,82,87,94,0,2,0,Нет,Нет,В конкурсе
